"","Day","Station","Hour","Mean","Variance"
"279","Weekday","North Ave",22,1.11056923076923,0.952173867595406
"280","Weekday","North Ave",23,0.0158730769230769,5.97768034306496e-05
"281","Weekday","Quezon Ave",4,150.733546153846,10.1001593415309
"282","Weekday","Quezon Ave",5,1055.67341538462,430.681462857177
"283","Weekday","Quezon Ave",6,1811.29507692308,1401.55664042149
"284","Weekday","Quezon Ave",7,1448.33941153846,746.915454211474
"285","Weekday","Quezon Ave",8,1388.63838846154,615.084384956539
"286","Weekday","Quezon Ave",9,1347.59056538462,525.329734998179
"287","Weekday","Quezon Ave",10,1332.89894615385,423.12353280683
"288","Weekday","Quezon Ave",11,1356.04141538462,334.710440739201
"289","Weekday","Quezon Ave",12,1321.50781538462,358.085645038174
"290","Weekday","Quezon Ave",13,1183.44045384615,272.406302984582
"291","Weekday","Quezon Ave",14,1068.12956153846,232.587071293246
"292","Weekday","Quezon Ave",15,1052.66074230769,220.516142298378
"293","Weekday","Quezon Ave",16,1276.64732692308,372.943315030637
"294","Weekday","Quezon Ave",17,1585.76056153846,818.567257397693
"295","Weekday","Quezon Ave",18,1492.73405769231,759.45381538306
"296","Weekday","Quezon Ave",19,1111.85581153846,351.428458338205
"297","Weekday","Quezon Ave",20,794.279557692308,191.503161382907
"298","Weekday","Quezon Ave",21,183.253611538462,13.7829257257109
"299","Weekday","Quezon Ave",22,6.06422307692308,0.260668490916952
"300","Weekday","Quezon Ave",23,0.0237730769230769,0.000264350726466111
"301","Weekday","GMA Kamuning",4,58.0586615384615,5.80800955535417
"302","Weekday","GMA Kamuning",5,352.895607692308,80.1922303344173
"303","Weekday","GMA Kamuning",6,693.998019230769,238.536757523426
"304","Weekday","GMA Kamuning",7,700.210276923077,264.480310434932
"305","Weekday","GMA Kamuning",8,641.008011538462,187.70431410865
"306","Weekday","GMA Kamuning",9,621.072392307692,167.399594895428
"307","Weekday","GMA Kamuning",10,640.891157692308,201.274514597423
"308","Weekday","GMA Kamuning",11,666.702438461538,203.823531816491
"309","Weekday","GMA Kamuning",12,651.088653846154,159.200248554768
"310","Weekday","GMA Kamuning",13,582.406976923077,154.424007430567
"311","Weekday","GMA Kamuning",14,561.860396153846,135.539836564242
"312","Weekday","GMA Kamuning",15,582.957715384615,133.674487800878
"313","Weekday","GMA Kamuning",16,802.495473076923,214.483541110208
"314","Weekday","GMA Kamuning",17,951.933780769231,363.675971206576
"315","Weekday","GMA Kamuning",18,769.577503846154,249.668878526441
"316","Weekday","GMA Kamuning",19,541.798342307692,103.917576292846
"317","Weekday","GMA Kamuning",20,360.504723076923,56.5688756806511
"318","Weekday","GMA Kamuning",21,98.6564461538461,5.10949761927608
"319","Weekday","GMA Kamuning",22,5.48631538461538,0.0745550082034697
"320","Weekday","GMA Kamuning",23,0.0155692307692308,8.5672891826738e-05
"321","Weekday","Cubao",4,230.093196153846,27.390742008858
"322","Weekday","Cubao",5,1151.30963461538,352.388943203188
"323","Weekday","Cubao",6,1115.14686923077,313.17408058064
"324","Weekday","Cubao",7,1082.29664615385,332.036520982758
"325","Weekday","Cubao",8,1176.82537692308,476.359757662929
"326","Weekday","Cubao",9,1317.31564615385,475.451094280316
"327","Weekday","Cubao",10,1484.55227692308,526.158927974365
"328","Weekday","Cubao",11,1697.76142692308,535.548774575744
"329","Weekday","Cubao",12,1747.05599615385,610.096661698962
"330","Weekday","Cubao",13,1784.04268076923,510.455549093339
"331","Weekday","Cubao",14,1814.55417307692,485.448179744463
"332","Weekday","Cubao",15,1838.80656153846,477.304832547992
"333","Weekday","Cubao",16,1909.20596538462,580.049673806928
